Remove Pin=U13A-2 From Net=M_TILT_PH
Remove Pin=U13A-3 From Net=M_ZOOM_FAULT
Remove Pin=U13A-4 From Net=M_ZOOM_PH
Remove Pin=U13A-8 From Net=ADC_W
Remove Pin=U13A-9 From Net=ADC_C
Remove Pin=U13A-10 From Net=M_PAN_IPROPI
Remove Pin=U13A-11 From Net=M_TILT_IPROPI
Remove Pin=U13A-14 From Net=M_ZOOM_IPROPI
Remove Pin=U13A-54 From Net=M_PAN_FAULT
Remove Pin=U13A-55 From Net=M_PAN_PH
Remove Pin=U13A-56 From Net=PWM_W
Remove Pin=U13A-57 From Net=PWM_C
Remove Pin=U13A-58 From Net=M_PAN_EN
Remove Pin=U13A-59 From Net=M_TILT_EN
Remove Pin=U13A-61 From Net=M_ZOOM_EN
Remove Pin=U13A-62 From Net=M_TILT_FAULT
Change Component Designator: OldDesignator=R68 NewDesignator=R72
Change Component Designator: OldDesignator=R69 NewDesignator=R82
Change Component Designator: OldDesignator=R70 NewDesignator=R81
Change Component Designator: OldDesignator=R71 NewDesignator=R76
Change Component Designator: OldDesignator=R72 NewDesignator=R80
Change Component Designator: OldDesignator=R73 NewDesignator=R55
Change Component Designator: OldDesignator=R74 NewDesignator=R73
Change Component Designator: OldDesignator=R75 NewDesignator=R78
Change Component Designator: OldDesignator=R76 NewDesignator=R79
Change Component Designator: OldDesignator=R77 NewDesignator=R62
Change Component Designator: OldDesignator=R78 NewDesignator=R52
Change Component Designator: OldDesignator=R79 NewDesignator=R18
Change Component Designator: OldDesignator=R80 NewDesignator=R19
Change Component Designator: OldDesignator=R81 NewDesignator=R53
Change Component Designator: OldDesignator=R82 NewDesignator=R86
Change Component Designator: OldDesignator=R83 NewDesignator=R37
Change Component Designator: OldDesignator=R84 NewDesignator=R36
Change Component Designator: OldDesignator=R85 NewDesignator=R38
Change Component Designator: OldDesignator=R86 NewDesignator=R58
Change Component Designator: OldDesignator=R87 NewDesignator=R49
Change Component Designator: OldDesignator=R88 NewDesignator=R61
Change Component Designator: OldDesignator=R89 NewDesignator=R74
Change Component Designator: OldDesignator=U1 NewDesignator=U3
Change Component Designator: OldDesignator=U3 NewDesignator=U11
Change Component Designator: OldDesignator=U3 NewDesignator=U11
Change Component Designator: OldDesignator=U4 NewDesignator=U7
Change Component Designator: OldDesignator=U6 NewDesignator=U1
Change Component Designator: OldDesignator=U7 NewDesignator=U9
Change Component Designator: OldDesignator=U8 NewDesignator=U6
Change Component Designator: OldDesignator=U9 NewDesignator=U12
Change Component Designator: OldDesignator=U10 NewDesignator=U15
Change Component Designator: OldDesignator=U11 NewDesignator=U16
Change Component Designator: OldDesignator=U12 NewDesignator=U14
Change Component Designator: OldDesignator=U13 NewDesignator=U8
Change Component Designator: OldDesignator=U13 NewDesignator=U8
Change Component Designator: OldDesignator=U14 NewDesignator=U13
Change Component Designator: OldDesignator=U15 NewDesignator=U4
Change Component Designator: OldDesignator=U16 NewDesignator=U10
